,objective,timestamp_end
0,-5.159184753,174.02252641670543
1,-4.933752712,312.9223128219643
2,-4.942854253,453.09207191550126
3,-4.943034497,593.2870980441437
4,-5.389656702,812.4152444297113
5,-4.977009904,957.4552933884653
6,-5.592622007,1225.8938389066277
7,-5.556475262,1484.80247990111
8,-5.225317045,1670.7225861240138
9,-5.127262707,1839.277687420884
10,-4.42673972,1922.9359099982298
11,-4.319615597,1998.0956411104087
12,-4.299428316,2071.7533138582276
13,-4.096082031,2131.8576526013076
14,-4.207758,2199.063348208707
15,-4.221082815,2267.17054007405
16,-4.040440835,2324.021939442849
17,-4.545290413,2418.2097160355192
18,-4.581032062,2515.824803094983
19,-4.299310961,2589.4738322538105
20,-4.142372123,2652.425806554752
21,-4.072240112,2711.114090333398
22,-4.297189651,2784.607052661769
23,-3.94786349,2836.431577515668
24,-4.512727254,2927.6017013613705
25,-4.247983877,2997.565914958653
26,-4.175266448,3062.6230866638098
27,-4.269060899,3134.0775877714746
28,-4.362571209,3212.53619654824
29,-4.213418775,3280.123407294086
30,-4.060436074,3338.123004975789
31,-4.497529132,3427.917990386734
32,-4.15617991,3491.745220909843
33,-4.176689727,3556.895053046468
