busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_async,loader_async_threads,loader_batch_size,loader_pes_per_node,loader_progress_thread,pep_ibatch_size,pep_no_preloading,pep_no_rdma,pep_num_threads,pep_obatch_size,pep_pes_per_node,pep_progress_thread,job_id,objective,timestamp_submit,timestamp_gather,timestamp_start,timestamp_end
False,1,12,22,43,8,fifo_wait,False,True,12,30,4,False,514,True,True,2,195,1,True,63,-5.153235640002166,8.296693086624146,8.304616928100586,0,172.9903201430773
False,8,16,29,1,4,fifo_wait,True,False,3,6,2,False,26,False,True,17,15,1,True,64,-5.591564963354378,8.42529010772705,8.433412075042725,172.9903201430773,441.145264318365
True,5,16,19,39,8,fifo_wait,True,True,1,233,2,False,984,False,False,3,103,8,True,65,-4.440333120953169,8.555216312408447,8.56338620185852,441.145264318365,525.9484510058099
True,6,1,13,32,32,fifo_wait,True,True,15,1,2,True,507,True,True,15,227,16,True,66,-5.449782036564761,8.70048213005066,8.708591222763062,525.9484510058099,758.6558896725935
True,11,16,13,31,32,fifo,True,True,2,67,4,False,16,True,True,8,10,16,True,67,-4.840729541319308,8.829870223999023,8.838151216506958,758.6558896725935,885.2175396840328
True,15,12,24,36,8,fifo_wait,False,False,2,531,8,False,25,False,False,26,21,4,True,68,-4.337316182437597,8.95886516571045,8.967108249664307,885.2175396840328,961.7194859915819
True,8,5,6,15,2,fifo_wait,True,False,35,301,2,False,389,False,True,6,27,16,False,69,-4.539148809088171,9.08901309967041,9.097243309020996,961.7194859915819,1055.3305712845531
False,9,14,20,15,16,fifo,True,True,10,12,2,False,319,False,False,21,20,32,True,70,-5.354938760467064,9.21824312210083,9.226231098175049,1055.3305712845531,1266.9815858312875
False,5,9,19,42,32,fifo_wait,True,True,1,4,4,False,135,False,True,12,59,8,False,71,-5.406165246038595,9.364397048950195,9.372637033462524,1266.9815858312875,1489.7572435843151
True,16,7,5,46,2,fifo_wait,False,True,7,13,4,False,516,False,False,20,282,32,False,72,-5.391708052999134,9.495059967041016,9.503343105316162,1489.7572435843151,1709.335360077433
False,9,16,12,35,4,fifo_wait,False,False,10,1625,2,False,859,False,False,28,21,4,False,73,-4.819006302708644,9.626018047332764,9.634332180023193,1709.335360077433,1833.1773282657505
False,6,5,7,16,32,fifo,False,False,27,1225,16,False,41,True,True,11,19,2,True,74,-4.561266382230801,9.755536317825317,9.763808012008667,1833.1773282657505,1928.8819299933539
False,14,6,17,59,1,fifo,False,True,2,32,4,True,104,True,True,24,35,32,False,75,-5.450197752007817,9.902087211608887,9.91045093536377,1928.8819299933539,2161.6861288470636
True,13,9,26,35,2,fifo_wait,False,True,40,108,2,True,14,False,False,27,29,8,False,76,-4.587584584068436,10.031803131103516,10.039932250976562,2161.6861288470636,2259.9429410818166
False,4,10,25,10,2,fifo,True,False,19,924,1,False,17,True,False,2,234,2,True,77,-5.138266900709257,10.162726163864136,10.171122074127197,2259.9429410818166,2430.363098261865
False,4,9,13,26,2,fifo,False,True,61,927,2,False,34,False,False,24,921,8,False,78,-4.546173099645715,10.291976928710938,10.300270080566406,2430.363098261865,2524.634049850452
True,6,11,24,32,8,fifo_wait,False,False,18,2,8,False,203,True,False,24,23,32,False,79,-5.365186284148547,10.420886039733887,10.428843021392822,2524.634049850452,2738.4651141592103
True,5,15,27,27,32,fifo,False,False,2,14,2,False,59,True,False,6,387,16,False,80,-5.236107178914279,10.566341161727905,10.574429988861084,2738.4651141592103,2926.402185317434
False,11,16,17,19,16,fifo,False,False,1,12,16,False,22,True,False,22,197,4,False,81,-5.480156806411523,10.694396257400513,10.702661275863647,2926.402185317434,3166.286505142048
False,8,7,14,29,32,fifo_wait,False,True,18,2,1,False,137,False,False,16,174,2,False,82,-5.516656294550149,10.823583126068115,10.831677913665771,3166.286505142048,3415.0882302488876
False,13,3,16,22,16,fifo,False,True,8,429,2,True,530,False,False,5,22,8,True,83,-4.486264451505689,10.95264220237732,10.960615158081055,3415.0882302488876,3503.877379685734
